UKBPPP_ProteinID	olink_target_fullname	OlinkID	UniProt	Assay	Panel	Panel_Lot_Nr	UniProt2	HGNC.symbol	Docname	Code	ensembl_id	chr	gene_start	gene_end	Strand	Dilution_factor	block
IL18R1:Q13478:OID20652:v1	Interleukin-18 receptor 1	OID20652	Q13478	IL18R1	Inflammation	B04411	Q13478	IL18R1	IL18R1_Q13478_OID20652_v1_Inflammation.tar	syn51469422	ENSG00000115604	2	102311529	102398777	1	01:01	C
IL18RAP:O95256:OID20900:v1	Interleukin-18 receptor accessory protein	OID20900	O95256	IL18RAP	Neurology	B04414	O95256	IL18RAP	IL18RAP_O95256_OID20900_v1_Neurology.tar	syn51470548	ENSG00000115607	2	102418689	102452565	1	01:01	B
IL19:Q9UHD0:OID20158:v1	Interleukin-19	OID20158	Q9UHD0	IL19	Cardiometabolic	B04413	Q9UHD0	IL19	IL19_Q9UHD0_OID20158_v1_Cardiometabolic.tar	syn51471064	ENSG00000142224	1	206770764	206842981	1	01:10	B
IL1A:P01583:OID20488:v1	Interleukin-1 alpha	OID20488	P01583	IL1A	Inflammation	B04411	P01583	IL1A	IL1A_P01583_OID20488_v1_Inflammation.tar	syn51469851	ENSG00000115008	2	112773925	112784493	-1	01:01	A
IL1B:P01584:OID20427:v1	Interleukin-1 beta	OID20427	P01584	IL1B	Inflammation	B04411	P01584	IL1B	IL1B_P01584_OID20427_v1_Inflammation.tar	syn51471136	ENSG00000125538	2	112829751	112836816	-1	01:01	A
IL1R1:P14778:OID21116:v1	Interleukin-1 receptor type 1	OID21116	P14778	IL1R1	Neurology	B04414	P14778	IL1R1	IL1R1_P14778_OID21116_v1_Neurology.tar	syn51469043	ENSG00000115594	2	102064544	102179874	1	0.111111111	D
IL1R2:P27930:OID20757:v1	Interleukin-1 receptor type 2	OID20757	P27930	IL1R2	Inflammation	B04411	P27930	IL1R2	IL1R2_P27930_OID20757_v1_Inflammation.tar	syn51471003	ENSG00000115590	2	101991960	102028544	1	01:10	D
IL1RAP:Q9NPH3:OID21126:v1	Interleukin-1 receptor accessory protein	OID21126	Q9NPH3	IL1RAP	Neurology	B04414	Q9NPH3	IL1RAP	IL1RAP_Q9NPH3_OID21126_v1_Neurology.tar	syn51468728	ENSG00000196083	3	190514051	190659750	1	0.111111111	D
IL1RL1:Q01638:OID20250:v1	Interleukin-1 receptor-like 1	OID20250	Q01638	IL1RL1	Cardiometabolic	B04413	Q01638	IL1RL1	IL1RL1_Q01638_OID20250_v1_Cardiometabolic.tar	syn51470031	ENSG00000115602	2	102311502	102352037	1	0.111111111	C
IL1RL2:Q9HB29:OID20487:v1	Interleukin-1 receptor-like 2	OID20487	Q9HB29	IL1RL2	Inflammation	B04411	Q9HB29	IL1RL2	IL1RL2_Q9HB29_OID20487_v1_Inflammation.tar	syn51469596	ENSG00000115598	2	102187006	102240002	1	01:01	A
IL1RN:P18510:OID20700:v1	Interleukin-1 receptor antagonist protein	OID20700	P18510	IL1RN	Inflammation	B04411	P18510	IL1RN	IL1RN_P18510_OID20700_v1_Inflammation.tar	syn51470605	ENSG00000136689	2	113107214	113134016	1	01:10	D
IL2:P60568:OID20419:v1	Interleukin-2	OID20419	P60568	IL2	Inflammation	B04411	P60568	IL2	IL2_P60568_OID20419_v1_Inflammation.tar	syn51471242	ENSG00000109471	4	122451470	122456725	-1	01:01	A
IL20:Q9NYY1:OID20453:v1	Interleukin-20	OID20453	Q9NYY1	IL20	Inflammation	B04411	Q9NYY1	IL20	IL20_Q9NYY1_OID20453_v1_Inflammation.tar	syn51469994	ENSG00000162891	1	206865623	206869223	1	01:01	A
IL20RA:Q9UHF4:OID20422:v1	Interleukin-20 receptor subunit alpha	OID20422	Q9UHF4	IL20RA	Inflammation	B04411	Q9UHF4	IL20RA	IL20RA_Q9UHF4_OID20422_v1_Inflammation.tar	syn51470612	ENSG00000016402	6	136999971	137045180	-1	01:01	A
IL22RA1:Q8N6P7:OID20449:v1	Interleukin-22 receptor subunit alpha-1	OID20449	Q8N6P7	IL22RA1	Inflammation	B04411	Q8N6P7	IL22RA1	IL22RA1_Q8N6P7_OID20449_v1_Inflammation.tar	syn51470740	ENSG00000142677	1	24119771	24143140	-1	01:01	A
IL24:Q13007:OID20440:v1	Interleukin-24	OID20440	Q13007	IL24	Inflammation	B04411	Q13007	IL24	IL24_Q13007_OID20440_v1_Inflammation.tar	syn51469408	ENSG00000162892	1	206897443	206904139	1	01:01	A
EBI3_IL27:Q14213_Q8NEV9:OID21389:v1	Interleukin-27	OID21389	Q14213_Q8NEV9	EBI3_IL27	Oncology	B04412	Q8NEV9	IL27	EBI3_IL27_Q14213_Q8NEV9_OID21389_v1_Oncology.tar	syn51470439	ENSG00000197272	16	28499362	28512051	-1	01:01	C
IL2RA:P01589:OID20267:v1	Interleukin-2 receptor subunit alpha	OID20267	P01589	IL2RA	Cardiometabolic	B04413	P01589	IL2RA	IL2RA_P01589_OID20267_v1_Cardiometabolic.tar	syn51469475	ENSG00000134460	10	6010689	6062370	-1	0.111111111	C
IL2RB:P14784:OID20450:v1	Interleukin-2 receptor subunit beta	OID20450	P14784	IL2RB	Inflammation	B04411	P14784	IL2RB	IL2RB_P14784_OID20450_v1_Inflammation.tar	syn51468805	ENSG00000100385	22	37125843	37175054	-1	01:01	A
IL32:P24001:OID20605:v1	Interleukin-32	OID20605	P24001	IL32	Inflammation	B04411	P24001	IL32	IL32_P24001_OID20605_v1_Inflammation.tar	syn51469125	ENSG00000008517	16	3065297	3082192	1	01:01	B
IL33:O95760:OID20428:v1	Interleukin-33	OID20428	O95760	IL33	Inflammation	B04411	O95760	IL33	IL33_O95760_OID20428_v1_Inflammation.tar	syn51470177	ENSG00000137033	9	6215786	6257983	1	01:01	A
IL34:Q6ZMJ4:OID20809:v1	Interleukin-34	OID20809	Q6ZMJ4	IL34	Neurology	B04414	Q6ZMJ4	IL34	IL34_Q6ZMJ4_OID20809_v1_Neurology.tar	syn51469958	ENSG00000157368	16	70579895	70660682	1	01:01	A
IL3RA:P26951:OID20461:v1	Interleukin-3 receptor subunit alpha	OID20461	P26951	IL3RA	Inflammation	B04411	P26951	IL3RA	IL3RA_P26951_OID20461_v1_Inflammation.tar	syn51471398	ENSG00000185291	X	1336616	1382689	1	01:01	A
IL4:P05112:OID20426:v1	Interleukin-4	OID20426	P05112	IL4	Inflammation	B04411	P05112	IL4	IL4_P05112_OID20426_v1_Inflammation.tar	syn51470861	ENSG00000113520	5	132673986	132682678	1	01:01	A
IL4R:P24394:OID20576:v1	Interleukin-4 receptor subunit alpha	OID20576	P24394	IL4R	Inflammation	B04411	P24394	IL4R	IL4R_P24394_OID20576_v1_Inflammation.tar	syn51471200	ENSG00000077238	16	27313668	27364778	1	01:01	B
IL5:P05113:OID20472:v1	Interleukin-5	OID20472	P05113	IL5	Inflammation	B04411	P05113	IL5	IL5_P05113_OID20472_v1_Inflammation.tar	syn51471391	ENSG00000113525	5	132541445	132556838	-1	01:01	A
IL5RA:Q01344:OID20601:v1	Interleukin-5 receptor subunit alpha	OID20601	Q01344	IL5RA	Inflammation	B04411	Q01344	IL5RA	IL5RA_Q01344_OID20601_v1_Inflammation.tar	syn51470561	ENSG00000091181	3	3066324	3126613	-1	01:01	B
IL6:P05231:OID20101:v1	Interleukin-6	OID20101	P05231	IL6	Cardiometabolic	B04413	P05231	IL6	IL6_P05231_OID20101_v1_Cardiometabolic.tar	syn51468683	ENSG00000136244	7	22725884	22732002	1	01:01	A
IL6:P05231:OID20563:v1	Interleukin-6	OID20563	P05231	IL6	Inflammation	B04411	P05231	IL6	IL6_P05231_OID20563_v1_Inflammation.tar	syn51470253	ENSG00000136244	7	22725884	22732002	1	01:01	B
IL6:P05231:OID20911:v1	Interleukin-6	OID20911	P05231	IL6	Neurology	B04414	P05231	IL6	IL6_P05231_OID20911_v1_Neurology.tar	syn51469886	ENSG00000136244	7	22725884	22732002	1	01:01	B
IL6:P05231:OID21276:v1	Interleukin-6	OID21276	P05231	IL6	Oncology	B04412	P05231	IL6	IL6_P05231_OID21276_v1_Oncology.tar	syn51471383	ENSG00000136244	7	22725884	22732002	1	01:01	B
IL6R:P08887:OID20385:v1	Interleukin-6 receptor subunit alpha	OID20385	P08887	IL6R	Cardiometabolic	B04413	P08887	IL6R	IL6R_P08887_OID20385_v1_Cardiometabolic.tar	syn51470461	ENSG00000160712	1	154405193	154469450	1	0.736111111	D
IL6ST:P40189:OID20147:v1	Interleukin-6 receptor subunit beta	OID20147	P40189	IL6ST	Cardiometabolic	B04413	P40189	IL6ST	IL6ST_P40189_OID20147_v1_Cardiometabolic.tar	syn51470905	ENSG00000134352	5	55935095	55995022	-1	01:10	B
IL7:P13232:OID20535:v1	Interleukin-7	OID20535	P13232	IL7	Inflammation	B04411	P13232	IL7	IL7_P13232_OID20535_v1_Inflammation.tar	syn51471269	ENSG00000104432	8	78675743	78805523	-1	01:01	B
IL7R:P16871:OID21136:v1	Interleukin-7 receptor subunit alpha	OID21136	P16871	IL7R	Neurology	B04414	P16871	IL7R	IL7R_P16871_OID21136_v1_Neurology.tar	syn51471280	ENSG00000168685	5	35852695	35879603	1	0.111111111	D
ILKAP:Q9H0C8:OID20855:v1	Integrin-linked kinase-associated serine/threonine phosphatase 2C	OID20855	Q9H0C8	ILKAP	Neurology	B04414	Q9H0C8	ILKAP	ILKAP_Q9H0C8_OID20855_v1_Neurology.tar	syn51469656	ENSG00000132323	2	238170402	238203708	-1	01:01	A
IMPA1:P29218:OID20907:v1	Inositol monophosphatase 1	OID20907	P29218	IMPA1	Neurology	B04414	P29218	IMPA1	IMPA1_P29218_OID20907_v1_Neurology.tar	syn51471393	ENSG00000133731	8	81656914	81686331	-1	01:01	B
ING1:Q9UK53:OID20853:v1	Inhibitor of growth protein 1	OID20853	Q9UK53	ING1	Neurology	B04414	Q9UK53	ING1	ING1_Q9UK53_OID20853_v1_Neurology.tar	syn51469315	ENSG00000153487	13	110712736	110723339	1	01:01	A
INHBC:P55103:OID21093:v1	Inhibin beta C chain	OID21093	P55103	INHBC	Neurology	B04414	P55103	INHBC	INHBC_P55103_OID21093_v1_Neurology.tar	syn51469822	ENSG00000175189	12	57434784	57452062	1	0.111111111	D
INPP1:P49441:OID21345:v1	Inositol polyphosphate 1-phosphatase	OID21345	P49441	INPP1	Oncology	B04412	P49441	INPP1	INPP1_P49441_OID21345_v1_Oncology.tar	syn51468891	ENSG00000151689	2	190343570	190371665	1	01:01	B
INPPL1:O15357:OID21314:v1	"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 "	OID21314	O15357	INPPL1	Oncology	B04412	O15357	INPPL1	INPPL1_O15357_OID21314_v1_Oncology.tar	syn51471286	ENSG00000165458	11	72223701	72239147	1	01:01	B
IPCEF1:Q8WWN9:OID20977:v1	Interactor protein for cytohesin exchange factors 1	OID20977	Q8WWN9	IPCEF1	Neurology	B04414	Q8WWN9	IPCEF1	IPCEF1_Q8WWN9_OID20977_v1_Neurology.tar	syn51471412	ENSG00000074706	6	154154496	154356803	-1	01:01	B
IQGAP2:Q13576:OID21361:v1	Ras GTPase-activating-like protein IQGAP2	OID21361	Q13576	IQGAP2	Oncology	B04412	Q13576	IQGAP2	IQGAP2_Q13576_OID21361_v1_Oncology.tar	syn51469039	ENSG00000145703	5	76403285	76708132	1	01:01	B
IRAG2:Q12912:OID20085:v1	Lymphoid-restricted membrane protein	OID20085	Q12912	IRAG2	Cardiometabolic	B04413	Q12912	IRAG2	IRAG2_Q12912_OID20085_v1_Cardiometabolic.tar	syn51470609	ENSG00000118308	12	25004342	25108335	1	01:01	A
IRAK1:P51617:OID20485:v1	Interleukin-1 receptor-associated kinase 1	OID20485	P51617	IRAK1	Inflammation	B04411	P51617	IRAK1	IRAK1_P51617_OID20485_v1_Inflammation.tar	syn51470889	ENSG00000184216	X	154010506	154019902	-1	01:01	A
IRAK4:Q9NWZ3:OID20577:v1	Interleukin-1 receptor-associated kinase 4	OID20577	Q9NWZ3	IRAK4	Inflammation	B04411	Q9NWZ3	IRAK4	IRAK4_Q9NWZ3_OID20577_v1_Inflammation.tar	syn51469509	ENSG00000198001	12	43758944	43789543	1	01:01	B
ISLR2:Q6UXK2:OID20889:v1	Immunoglobulin superfamily containing leucine-rich repeat protein 2	OID20889	Q6UXK2	ISLR2	Neurology	B04414	Q6UXK2	ISLR2	ISLR2_Q6UXK2_OID20889_v1_Neurology.tar	syn51469123	ENSG00000167178	15	74100311	74138540	1	01:01	A
ISM1:B1AKI9:OID20538:v1	Isthmin-1	OID20538	B1AKI9	ISM1	Inflammation	B04411	B1AKI9	ISM1	ISM1_B1AKI9_OID20538_v1_Inflammation.tar	syn51469307	ENSG00000101230	20	13221274	13300651	1	01:01	B
ITGA11:Q9UKX5:OID20581:v1	Integrin alpha-11	OID20581	Q9UKX5	ITGA11	Inflammation	B04411	Q9UKX5	ITGA11	ITGA11_Q9UKX5_OID20581_v1_Inflammation.tar	syn51471292	ENSG00000137809	15	68296532	68432163	-1	01:01	B
ITGA5:P08648:OID21139:v1	Integrin alpha-5	OID21139	P08648	ITGA5	Neurology	B04414	P08648	ITGA5	ITGA5_P08648_OID21139_v1_Neurology.tar	syn51471374	ENSG00000161638	12	54395261	54419266	-1	0.111111111	D
ITGA6:P23229:OID20528:v1	Integrin alpha-6	OID20528	P23229	ITGA6	Inflammation	B04411	P23229	ITGA6	ITGA6_P23229_OID20528_v1_Inflammation.tar	syn51471327	ENSG00000091409	2	172427354	172506459	1	01:01	B
ITGAM:P11215:OID21071:v1	Integrin alpha-M	OID21071	P11215	ITGAM	Neurology	B04414	P11215	ITGAM	ITGAM_P11215_OID21071_v1_Neurology.tar	syn51471237	ENSG00000169896	16	31259967	31332892	1	0.111111111	D
ITGAV:P06756:OID21416:v1	Integrin alpha-V	OID21416	P06756	ITGAV	Oncology	B04412	P06756	ITGAV	ITGAV_P06756_OID21416_v1_Oncology.tar	syn51471284	ENSG00000138448	2	186590056	186680901	1	01:01	C
ITGB1:P05556:OID20376:v1	Integrin beta-1	OID20376	P05556	ITGB1	Cardiometabolic	B04413	P05556	ITGB1	ITGB1_P05556_OID20376_v1_Cardiometabolic.tar	syn51470300	ENSG00000150093	10	32887273	33005792	-1	0.736111111	D
ITGB1BP1:O14713:OID21268:v1	Integrin beta-1-binding protein 1	OID21268	O14713	ITGB1BP1	Oncology	B04412	O14713	ITGB1BP1	ITGB1BP1_O14713_OID21268_v1_Oncology.tar	syn51471358	ENSG00000119185	2	9403475	9423528	-1	01:01	A
ITGB1BP2:Q9UKP3:OID20112:v1	Integrin beta-1-binding protein 2	OID20112	Q9UKP3	ITGB1BP2	Cardiometabolic	B04413	Q9UKP3	ITGB1BP2	ITGB1BP2_Q9UKP3_OID20112_v1_Cardiometabolic.tar	syn51468662	ENSG00000147166	X	71301750	71305371	1	01:01	A
ITGB2:P05107:OID20315:v1	Integrin beta-2	OID20315	P05107	ITGB2	Cardiometabolic	B04413	P05107	ITGB2	ITGB2_P05107_OID20315_v1_Cardiometabolic.tar	syn51471449	ENSG00000160255	21	44885953	44931989	-1	0.111111111	C
ITGB5:P18084:OID21522:v1	Integrin beta-5	OID21522	P18084	ITGB5	Oncology	B04412	P18084	ITGB5	ITGB5_P18084_OID21522_v1_Oncology.tar	syn51469720	ENSG00000082781	3	124761948	124901418	-1	01:10	D
ITGB6:P18564:OID20493:v1	Integrin beta-6	OID20493	P18564	ITGB6	Inflammation	B04411	P18564	ITGB6	ITGB6_P18564_OID20493_v1_Inflammation.tar	syn51468797	ENSG00000115221	2	160099667	160200313	-1	01:01	A
ITGB7:P26010:OID21393:v1	Integrin beta-7	OID21393	P26010	ITGB7	Oncology	B04412	P26010	ITGB7	ITGB7_P26010_OID21393_v1_Oncology.tar	syn51470189	ENSG00000139626	12	53191323	53207282	-1	01:01	C
ITIH3:Q06033:OID20352:v1	Inter-alpha-trypsin inhibitor heavy chain H3	OID20352	Q06033	ITIH3	Cardiometabolic	B04413	Q06033	ITIH3	ITIH3_Q06033_OID20352_v1_Cardiometabolic.tar	syn51471325	ENSG00000162267	3	52794768	52809009	1	0.736111111	D
ITM2A:O43736:OID20504:v1	Integral membrane protein 2A	OID20504	O43736	ITM2A	Inflammation	B04411	O43736	ITM2A	ITM2A_O43736_OID20504_v1_Inflammation.tar	syn51471415	ENSG00000078596	X	79360384	79367667	-1	01:01	B
IVD:P26440:OID20833:v1	"Isovaleryl-CoA dehydrogenase, mitochondrial "	OID20833	P26440	IVD	Neurology	B04414	P26440	IVD	IVD_P26440_OID20833_v1_Neurology.tar	syn51469045	ENSG00000128928	15	40405485	40435947	1	01:01	A
JAM2:P57087:OID21064:v1	Junctional adhesion molecule B	OID21064	P57087	JAM2	Neurology	B04414	P57087	JAM2	JAM2_P57087_OID21064_v1_Neurology.tar	syn51469391	ENSG00000154721	21	25639258	25717562	1	01:10	C
JCHAIN:P01591:OID20494:v1	Immunoglobulin J chain	OID20494	P01591	JCHAIN	Inflammation	B04411	P01591	JCHAIN	JCHAIN_P01591_OID20494_v1_Inflammation.tar	syn51469177	ENSG00000132465	4	70655541	70681817	-1	01:01	A
JUN:P05412:OID20424:v1	Transcription factor AP-1	OID20424	P05412	JUN	Inflammation	B04411	P05412	JUN	JUN_P05412_OID20424_v1_Inflammation.tar	syn51469853	ENSG00000177606	1	58776845	58784048	-1	01:01	A
KAZALD1:Q96I82:OID21339:v1	Kazal-type serine protease inhibitor domain-containing protein 1	OID21339	Q96I82	KAZALD1	Oncology	B04412	Q96I82	KAZALD1	KAZALD1_Q96I82_OID21339_v1_Oncology.tar	syn51469416	ENSG00000107821	10	101061989	101068131	1	01:01	B
KCNIP4:Q6PIL6:OID20813:v1	Kv channel-interacting protein 4	OID20813	Q6PIL6	KCNIP4	Neurology	B04414	Q6PIL6	KCNIP4	KCNIP4_Q6PIL6_OID20813_v1_Neurology.tar	syn51469668	ENSG00000185774	4	20728606	21948772	-1	01:01	A
KDR:P35968:OID21497:v1	Vascular endothelial growth factor receptor 2	OID21497	P35968	KDR	Oncology	B04412	P35968	KDR	KDR_P35968_OID21497_v1_Oncology.tar	syn51469474	ENSG00000128052	4	55078481	55125595	-1	01:10	D
KEL:P23276:OID20881:v1	Kell blood group glycoprotein	OID20881	P23276	KEL	Neurology	B04414	P23276	KEL	KEL_P23276_OID20881_v1_Neurology.tar	syn51469991	ENSG00000197993	7	142941114	142962363	-1	01:01	A
KIFBP:Q96EK5:OID21320:v1	KIF-binding protein	OID21320	Q96EK5	KIFBP	Oncology	B04412	Q96EK5	KIFBP	KIFBP_Q96EK5_OID21320_v1_Oncology.tar	syn51471360	ENSG00000198954	10	68988803	69043544	1	01:01	B
KIR2DL3:P43628:OID21196:v1	Killer cell immunoglobulin-like receptor 2DL3	OID21196	P43628	KIR2DL3	Oncology	B04412	P43628	KIR2DL3	KIR2DL3_P43628_OID21196_v1_Oncology.tar	syn51468422	ENSG00000243772	19	54738513	54753052	1	01:01	A
KIR3DL1:P43629:OID21185:v1	Killer cell immunoglobulin-like receptor 3DL1	OID21185	P43629	KIR3DL1	Oncology	B04412	P43629	KIR3DL1	KIR3DL1_P43629_OID21185_v1_Oncology.tar	syn51469593	ENSG00000167633	19	54816468	54830778	1	01:01	A
KIRREL2:Q6UWL6:OID20873:v1	Kin of IRRE-like protein 2	OID20873	Q6UWL6	KIRREL2	Neurology	B04414	Q6UWL6	KIRREL2	KIRREL2_Q6UWL6_OID20873_v1_Neurology.tar	syn51468745	ENSG00000126259	19	35855861	35867136	1	01:01	A
KIT:P10721:OID20370:v1	Mast/stem cell growth factor receptor Kit	OID20370	P10721	KIT	Cardiometabolic	B04413	P10721	KIT	KIT_P10721_OID20370_v1_Cardiometabolic.tar	syn51470015	ENSG00000157404	4	54657267	54740783	1	0.736111111	D
KITLG:P21583:OID20196:v1	Kit ligand	OID20196	P21583	KITLG	Cardiometabolic	B04413	P21583	KITLG	KITLG_P21583_OID20196_v1_Cardiometabolic.tar	syn51468698	ENSG00000049130	12	88492793	88580851	-1	01:10	B
KLB:Q86Z14:OID20888:v1	Beta-klotho	OID20888	Q86Z14	KLB	Neurology	B04414	Q86Z14	KLB	KLB_Q86Z14_OID20888_v1_Neurology.tar	syn51471271	ENSG00000134962	4	39406930	39451533	1	01:01	A
KLK1:P06870:OID21499:v1	Kallikrein-1	OID21499	P06870	KLK1	Oncology	B04412	P06870	KLK1	KLK1_P06870_OID21499_v1_Oncology.tar	syn51468714	ENSG00000167748	19	50819146	50823787	-1	01:10	D
KLK10:O43240:OID21523:v1	Kallikrein-10	OID21523	O43240	KLK10	Oncology	B04412	O43240	KLK10	KLK10_O43240_OID21523_v1_Oncology.tar	syn51471006	ENSG00000129451	19	51012739	51020175	-1	01:10	D
KLK11:Q9UBX7:OID21518:v1	Kallikrein-11	OID21518	Q9UBX7	KLK11	Oncology	B04412	Q9UBX7	KLK11	KLK11_Q9UBX7_OID21518_v1_Oncology.tar	syn51468439	ENSG00000167757	19	51022216	51028039	-1	01:10	D
KLK12:Q9UKR0:OID21201:v1	Kallikrein-12	OID21201	Q9UKR0	KLK12	Oncology	B04412	Q9UKR0	KLK12	KLK12_Q9UKR0_OID21201_v1_Oncology.tar	syn51471348	ENSG00000186474	19	51029092	51035230	-1	01:01	A
KLK13:Q9UKR3:OID21291:v1	Kallikrein-13	OID21291	Q9UKR3	KLK13	Oncology	B04412	Q9UKR3	KLK13	KLK13_Q9UKR3_OID21291_v1_Oncology.tar	syn51469917	ENSG00000167759	19	51055626	51065114	-1	01:01	B
KLK14:Q9P0G3:OID21407:v1	Kallikrein-14	OID21407	Q9P0G3	KLK14	Oncology	B04412	Q9P0G3	KLK14	KLK14_Q9P0G3_OID21407_v1_Oncology.tar	syn51471337	ENSG00000129437	19	51077495	51084245	-1	01:01	C
KLK4:Q9Y5K2:OID21391:v1	Kallikrein-4	OID21391	Q9Y5K2	KLK4	Oncology	B04412	Q9Y5K2	KLK4	KLK4_Q9Y5K2_OID21391_v1_Oncology.tar	syn51470040	ENSG00000167749	19	50906351	50911395	-1	01:01	C
KLK6:Q92876:OID21526:v1	Kallikrein-6	OID21526	Q92876	KLK6	Oncology	B04412	Q92876	KLK6	KLK6_Q92876_OID21526_v1_Oncology.tar	syn51470443	ENSG00000167755	19	50958631	50969673	-1	01:10	D
KLK8:O60259:OID21517:v1	Kallikrein-8	OID21517	O60259	KLK8	Oncology	B04412	O60259	KLK8	KLK8_O60259_OID21517_v1_Oncology.tar	syn51470627	ENSG00000129455	19	50996007	51002711	-1	01:10	D
KLRB1:Q12918:OID20629:v1	Killer cell lectin-like receptor subfamily B member 1	OID20629	Q12918	KLRB1	Inflammation	B04411	Q12918	KLRB1	KLRB1_Q12918_OID20629_v1_Inflammation.tar	syn51469431	ENSG00000111796	12	9594551	9607916	-1	01:01	C
KLRD1:Q13241:OID20632:v1	Natural killer cells antigen CD94	OID20632	Q13241	KLRD1	Inflammation	B04411	Q13241	KLRD1	KLRD1_Q13241_OID20632_v1_Inflammation.tar	syn51468872	ENSG00000134539	12	10226058	10329608	1	01:01	C
KRT14:P02533:OID20800:v1	"Keratin, type I cytoskeletal 14 "	OID20800	P02533	KRT14	Neurology	B04414	P02533	KRT14	KRT14_P02533_OID20800_v1_Neurology.tar	syn51470162	ENSG00000186847	17	41582279	41586895	-1	01:01	A
KRT18:P05783:OID21296:v1	"Keratin, type I cytoskeletal 18 "	OID21296	P05783	KRT18	Oncology	B04412	P05783	KRT18	KRT18_P05783_OID21296_v1_Oncology.tar	syn51470349	ENSG00000111057	12	52948871	52952906	1	01:01	B
KRT19:P08727:OID20596:v1	"Keratin, type I cytoskeletal 19 "	OID20596	P08727	KRT19	Inflammation	B04411	P08727	KRT19	KRT19_P08727_OID20596_v1_Inflammation.tar	syn51470713	ENSG00000171345	17	41523617	41528308	-1	01:01	B
KRT5:P13647:OID20860:v1	"Keratin, type II cytoskeletal 5 "	OID20860	P13647	KRT5	Neurology	B04414	P13647	KRT5	KRT5_P13647_OID20860_v1_Neurology.tar	syn51471231	ENSG00000186081	12	52514575	52520530	-1	01:01	A
KYAT1:Q16773:OID20232:v1	Kynurenine--oxoglutarate transaminase 1	OID20232	Q16773	KYAT1	Cardiometabolic	B04413	Q16773	KYAT1	KYAT1_Q16773_OID20232_v1_Cardiometabolic.tar	syn51469909	ENSG00000171097	9	128832942	128882494	-1	01:10	B
KYNU:Q16719:OID20669:v1	Kynureninase	OID20669	Q16719	KYNU	Inflammation	B04411	Q16719	KYNU	KYNU_Q16719_OID20669_v1_Inflammation.tar	syn51469340	ENSG00000115919	2	142877657	143055833	1	01:01	C
L1CAM:P32004:OID21484:v1	Neural cell adhesion molecule L1	OID21484	P32004	L1CAM	Oncology	B04412	P32004	L1CAM	L1CAM_P32004_OID21484_v1_Oncology.tar	syn51469550	ENSG00000198910	X	153861514	153886173	-1	01:10	D
LACTB2:Q53H82:OID20150:v1	Endoribonuclease LACTB2	OID20150	Q53H82	LACTB2	Cardiometabolic	B04413	Q53H82	LACTB2	LACTB2_Q53H82_OID20150_v1_Cardiometabolic.tar	syn51471322	ENSG00000147592	8	70635318	70669185	-1	01:10	B
LAG3:P18627:OID21315:v1	Lymphocyte activation gene 3 protein	OID21315	P18627	LAG3	Oncology	B04412	P18627	LAG3	LAG3_P18627_OID21315_v1_Oncology.tar	syn51469160	ENSG00000089692	12	6772512	6778455	1	01:01	B
LAIR1:Q6GTX8:OID20737:v1	Leukocyte-associated immunoglobulin-like receptor 1	OID20737	Q6GTX8	LAIR1	Inflammation	B04411	Q6GTX8	LAIR1	LAIR1_Q6GTX8_OID20737_v1_Inflammation.tar	syn51469633	ENSG00000167613	19	54351384	54370558	-1	01:10	D
LAIR2:Q6ISS4:OID20965:v1	Leukocyte-associated immunoglobulin-like receptor 2	OID20965	Q6ISS4	LAIR2	Neurology	B04414	Q6ISS4	LAIR2	LAIR2_Q6ISS4_OID20965_v1_Neurology.tar	syn51469056	ENSG00000167618	19	54497879	54510687	1	01:01	B
LAMA4:Q16363:OID20769:v1	Laminin subunit alpha-4	OID20769	Q16363	LAMA4	Inflammation	B04411	Q16363	LAMA4	LAMA4_Q16363_OID20769_v1_Inflammation.tar	syn51471446	ENSG00000112769	6	112107931	112254939	-1	01:10	D
LAMP2:P13473:OID21035:v1	Lysosome-associated membrane glycoprotein 2	OID21035	P13473	LAMP2	Neurology	B04414	P13473	LAMP2	LAMP2_P13473_OID21035_v1_Neurology.tar	syn51470562	ENSG00000005893	X	120426148	120469365	-1	01:10	C
LAMP3:Q9UQV4:OID20638:v1	Lysosome-associated membrane glycoprotein 3	OID20638	Q9UQV4	LAMP3	Inflammation	B04411	Q9UQV4	LAMP3	LAMP3_Q9UQV4_OID20638_v1_Inflammation.tar	syn51470960	ENSG00000078081	3	183122215	183163839	-1	01:01	C
LAP3:P28838:OID20436:v1	Cytosol aminopeptidase	OID20436	P28838	LAP3	Inflammation	B04411	P28838	LAP3	LAP3_P28838_OID20436_v1_Inflammation.tar	syn51470305	ENSG00000002549	4	17577198	17607972	1	01:01	A
LAT:O43561:OID20640:v1	Linker for activation of T-cells family member 1	OID20640	O43561	LAT	Inflammation	B04411	O43561	LAT	LAT_O43561_OID20640_v1_Inflammation.tar	syn51471462	ENSG00000213658	16	28984826	28990784	1	01:01	C
LAT2:Q9GZY6:OID21292:v1	Linker for activation of T-cells family member 2	OID21292	Q9GZY6	LAT2	Oncology	B04412	Q9GZY6	LAT2	LAT2_Q9GZY6_OID21292_v1_Oncology.tar	syn51470736	ENSG00000086730	7	74199652	74229834	1	01:01	B
